Resuming: 32,768 vectors already embedded with nomic-st-v1.5
  embedded  16,384 (+268,288 prior) @ 38 emb/sec | peakVRAM 3,158 MB | 7.2 min
  embedded  18,432 (+268,288 prior) @ 38 emb/sec | peakVRAM 3,158 MB | 8.1 min
  embedded  20,480 (+268,288 prior) @ 38 emb/sec | peakVRAM 3,158 MB | 9.0 min
  embedded  22,528 (+268,288 prior) @ 38 emb/sec | peakVRAM 3,158 MB | 9.9 min
  embedded  24,576 (+268,288 prior) @ 38 emb/sec | peakVRAM 3,158 MB | 10.7 min
  embedded  26,624 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 12.1 min
  embedded  28,672 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 12.9 min
  embedded  30,720 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 13.8 min
  embedded  32,768 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 14.7 min
  embedded  34,816 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 15.6 min
  embedded  36,864 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 16.5 min
  embedded  38,912 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 17.4 min
  embedded  40,960 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 18.4 min
  embedded  43,008 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 19.3 min
  embedded  45,056 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 20.5 min
  embedded  47,104 (+268,288 prior) @ 37 emb/sec | peakVRAM 3,247 MB | 21.4 min
  embedded  49,152 (+268,288 prior) @ 36 emb/sec | peakVRAM 4,275 MB | 23.0 min
  embedded  51,200 (+268,288 prior) @ 35 emb/sec | peakVRAM 4,275 MB | 24.1 min
  embedded  53,248 (+268,288 prior) @ 35 emb/sec | peakVRAM 4,275 MB | 25.2 min
  embedded  55,296 (+268,288 prior) @ 35 emb/sec | peakVRAM 4,275 MB | 26.3 min
  embedded  57,344 (+268,288 prior) @ 35 emb/sec | peakVRAM 4,275 MB | 27.4 min
  embedded  59,392 (+268,288 prior) @ 35 emb/sec | peakVRAM 4,275 MB | 28.6 min
  embedded  61,440 (+268,288 prior) @ 35 emb/sec | peakVRAM 4,275 MB | 29.7 min
  embedded  63,488 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 30.7 min
  embedded  65,536 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 31.9 min
  embedded  67,584 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 33.3 min
  embedded  69,632 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 34.4 min
  embedded  71,680 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 35.3 min
  embedded  73,728 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 36.3 min
  embedded  75,776 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 37.2 min
  embedded  77,824 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 38.1 min
  embedded  79,872 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 39.1 min
  embedded  81,920 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 40.1 min
  embedded  83,968 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 41.0 min
  embedded  86,016 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 42.2 min
  embedded  88,064 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 43.2 min
  embedded  90,112 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 44.2 min
  embedded  92,160 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 45.2 min
  embedded  94,208 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 46.2 min
  embedded  96,256 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 47.1 min
  embedded  98,304 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 48.3 min
  embedded 100,352 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 49.5 min
  embedded 102,400 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 50.7 min
  embedded 104,448 (+268,288 prior) @ 34 emb/sec | peakVRAM 4,275 MB | 51.9 min
  embedded 106,496 (+268,288 prior) @ 33 emb/sec | peakVRAM 4,275 MB | 53.1 min
  embedded 108,544 (+268,288 prior) @ 33 emb/sec | peakVRAM 4,275 MB | 54.2 min
  embedded 110,592 (+268,288 prior) @ 33 emb/sec | peakVRAM 4,275 MB | 55.5 min
  embedded 112,640 (+268,288 prior) @ 33 emb/sec | peakVRAM 4,275 MB | 56.9 min
  embedded 114,688 (+268,288 prior) @ 33 emb/sec | peakVRAM 4,275 MB | 58.1 min
  embedded 116,736 (+268,288 prior) @ 33 emb/sec | peakVRAM 4,275 MB | 59.3 min
  embedded 118,784 (+268,288 prior) @ 33 emb/sec | peakVRAM 4,275 MB | 60.6 min
  embedded 120,832 (+268,288 prior) @ 33 emb/sec | peakVRAM 4,275 MB | 61.8 min
  embedded 122,880 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 63.1 min
  embedded 124,928 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 64.3 min
  embedded 126,976 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 65.6 min
  embedded 129,024 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 66.9 min
  embedded 131,072 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 68.0 min
  embedded 133,120 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 69.3 min
  embedded 135,168 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 70.5 min
  embedded 137,216 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 71.8 min
  embedded 139,264 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 73.1 min
  embedded 141,312 (+268,288 prior) @ 32 emb/sec | peakVRAM 4,275 MB | 74.5 min
  embedded 143,360 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 76.0 min
  embedded 145,408 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 77.2 min
  embedded 147,456 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 78.4 min
  embedded 149,504 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 79.6 min
  embedded 151,552 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 80.9 min
  embedded 153,600 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 82.2 min
  embedded 155,648 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 83.4 min
  embedded 157,696 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 84.8 min
  embedded 159,744 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 86.1 min
  embedded 161,792 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 87.6 min
  embedded 163,840 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 88.8 min
  embedded 165,888 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 89.9 min
  embedded 167,936 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 91.1 min
  embedded 169,984 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 92.2 min
  embedded 172,032 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 93.4 min
  embedded 174,080 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 94.6 min
  embedded 176,128 (+268,288 prior) @ 31 emb/sec | peakVRAM 4,275 MB | 96.1 min
  embedded 178,176 (+268,288 prior) @ 30 emb/sec | peakVRAM 4,275 MB | 97.5 min
