  embedded 202,752 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 67.1 min
  embedded 204,800 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 67.8 min
  embedded 206,848 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 68.4 min
  embedded 208,896 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 69.0 min
  embedded 210,944 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 69.7 min
  embedded 212,992 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 70.3 min
  embedded 215,040 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 71.0 min
  embedded 217,088 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 71.6 min
  embedded 219,136 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 72.3 min
  embedded 221,184 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 72.9 min
  embedded 223,232 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 73.6 min
  embedded 225,280 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 74.2 min
  embedded 227,328 (+0 prior) @ 51 emb/sec | peakVRAM 2,433 MB | 74.8 min
  embedded 229,376 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 75.9 min
  embedded 231,424 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 76.6 min
  embedded 233,472 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 77.6 min
  embedded 235,520 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 78.6 min
  embedded 237,568 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 79.2 min
  embedded 239,616 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 79.9 min
  embedded 241,664 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 80.6 min
  embedded 243,712 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 81.2 min
  embedded 245,760 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 82.3 min
  embedded 247,808 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 82.9 min
  embedded 249,856 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 83.6 min
  embedded 251,904 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 84.4 min
  embedded 253,952 (+0 prior) @ 50 emb/sec | peakVRAM 2,433 MB | 85.5 min
  embedded 256,000 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 86.4 min
  embedded 258,048 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 87.2 min
  embedded 260,096 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 87.9 min
  embedded 262,144 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 88.7 min
  embedded 264,192 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 89.5 min
  embedded 266,240 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 90.3 min
  embedded 268,288 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 91.1 min
  embedded 270,336 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 91.9 min
  embedded 272,384 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 92.7 min
  embedded 274,432 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 93.4 min
  embedded 276,480 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 94.0 min
  embedded 278,528 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 94.8 min
  embedded 280,576 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 95.5 min
  embedded 282,624 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 96.3 min
  embedded 284,672 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 97.2 min
  embedded 286,720 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 97.9 min
  embedded 288,768 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 98.7 min
  embedded 290,816 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 99.5 min
  embedded 292,864 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 100.3 min
  embedded 294,912 (+0 prior) @ 48 emb/sec | peakVRAM 2,433 MB | 101.4 min
  embedded 296,960 (+0 prior) @ 48 emb/sec | peakVRAM 2,433 MB | 102.1 min
  embedded 299,008 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 102.7 min
  embedded 301,056 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 103.4 min
  embedded 303,104 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 104.0 min
  embedded 305,152 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 104.7 min
  embedded 307,200 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 105.4 min
  embedded 309,248 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 106.0 min
  embedded 311,296 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 106.7 min
  embedded 313,344 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 107.4 min
  embedded 315,392 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 108.1 min
  embedded 317,440 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 109.0 min
  embedded 319,488 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 109.6 min
  embedded 321,536 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 110.2 min
  embedded 323,584 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 110.9 min
  embedded 325,632 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 111.5 min
  embedded 327,680 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 112.2 min
  embedded 329,728 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 112.8 min
  embedded 331,776 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 113.5 min
  embedded 333,824 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 114.1 min
  embedded 335,872 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 114.7 min
  embedded 337,920 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 115.5 min
  embedded 339,968 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 116.4 min
  embedded 342,016 (+0 prior) @ 49 emb/sec | peakVRAM 2,433 MB | 117.4 min
  embedded 344,064 (+0 prior) @ 48 emb/sec | peakVRAM 2,433 MB | 118.5 min
  embedded 346,112 (+0 prior) @ 48 emb/sec | peakVRAM 2,433 MB | 119.5 min
  embedded 348,160 (+0 prior) @ 48 emb/sec | peakVRAM 2,433 MB | 120.6 min
  embedded 350,208 (+0 prior) @ 48 emb/sec | peakVRAM 2,433 MB | 121.7 min
  embedded 352,256 (+0 prior) @ 48 emb/sec | peakVRAM 2,433 MB | 122.6 min
  embedded 354,304 (+0 prior) @ 48 emb/sec | peakVRAM 2,513 MB | 123.9 min
  embedded 356,352 (+0 prior) @ 48 emb/sec | peakVRAM 2,513 MB | 124.9 min
  embedded 358,400 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 126.0 min
  embedded 360,448 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 126.7 min
  embedded 362,496 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 127.6 min
  embedded 364,544 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 128.5 min
  embedded 366,592 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 129.5 min
  embedded 368,640 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 130.6 min
  embedded 370,688 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 131.4 min
  embedded 372,736 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 132.2 min
  embedded 374,784 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 133.0 min
  embedded 376,832 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 134.0 min
  embedded 378,880 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 135.0 min
  embedded 380,928 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 136.0 min
  embedded 382,976 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 136.9 min
  embedded 385,024 (+0 prior) @ 47 emb/sec | peakVRAM 2,513 MB | 137.9 min
  embedded 387,072 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 138.8 min
  embedded 389,120 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 139.7 min
  embedded 391,168 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 140.5 min
  embedded 393,216 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 141.4 min
  embedded 395,264 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 142.4 min
  embedded 397,312 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 143.4 min
  embedded 399,360 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 144.3 min
  embedded 401,408 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 145.2 min
  embedded 403,456 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 146.2 min
  embedded 405,504 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 147.0 min
  embedded 407,552 (+0 prior) @ 46 emb/sec | peakVRAM 2,513 MB | 147.9 min
Resuming: 407,552 vectors already embedded with medcpt
  embedded   2,048 (+407,552 prior) @ 31 emb/sec | peakVRAM 1,589 MB | 1.1 min
  embedded   4,096 (+407,552 prior) @ 34 emb/sec | peakVRAM 1,634 MB | 2.0 min
  embedded   6,144 (+407,552 prior) @ 33 emb/sec | peakVRAM 1,684 MB | 3.1 min
  embedded   8,192 (+407,552 prior) @ 34 emb/sec | peakVRAM 1,684 MB | 4.1 min
  embedded  10,240 (+407,552 prior) @ 35 emb/sec | peakVRAM 1,684 MB | 4.9 min
  embedded  12,288 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,684 MB | 5.7 min
  embedded  14,336 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,835 MB | 6.6 min
  embedded  16,384 (+407,552 prior) @ 37 emb/sec | peakVRAM 1,835 MB | 7.4 min
  embedded  18,432 (+407,552 prior) @ 37 emb/sec | peakVRAM 1,946 MB | 8.3 min
  embedded  20,480 (+407,552 prior) @ 37 emb/sec | peakVRAM 1,946 MB | 9.3 min
  embedded  22,528 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,946 MB | 10.4 min
  embedded  24,576 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,946 MB | 11.3 min
  embedded  26,624 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,946 MB | 12.2 min
  embedded  28,672 (+407,552 prior) @ 37 emb/sec | peakVRAM 1,946 MB | 13.1 min
  embedded  30,720 (+407,552 prior) @ 37 emb/sec | peakVRAM 1,946 MB | 13.9 min
  embedded  32,768 (+407,552 prior) @ 37 emb/sec | peakVRAM 1,946 MB | 14.8 min
  embedded  34,816 (+407,552 prior) @ 37 emb/sec | peakVRAM 1,946 MB | 15.7 min
  embedded  36,864 (+407,552 prior) @ 37 emb/sec | peakVRAM 1,946 MB | 16.7 min
  embedded  38,912 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,946 MB | 17.8 min
  embedded  40,960 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,946 MB | 18.8 min
  embedded  43,008 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,986 MB | 20.0 min
  embedded  45,056 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,986 MB | 21.1 min
  embedded  47,104 (+407,552 prior) @ 35 emb/sec | peakVRAM 1,986 MB | 22.1 min
  embedded  49,152 (+407,552 prior) @ 35 emb/sec | peakVRAM 1,986 MB | 23.2 min
  embedded  51,200 (+407,552 prior) @ 35 emb/sec | peakVRAM 1,986 MB | 24.2 min
  embedded  53,248 (+407,552 prior) @ 35 emb/sec | peakVRAM 1,986 MB | 25.1 min
  embedded  55,296 (+407,552 prior) @ 35 emb/sec | peakVRAM 1,986 MB | 26.0 min
  embedded  57,344 (+407,552 prior) @ 35 emb/sec | peakVRAM 1,986 MB | 26.9 min
  embedded  59,392 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,986 MB | 27.8 min
  embedded  61,440 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,986 MB | 28.8 min
  embedded  63,488 (+407,552 prior) @ 36 emb/sec | peakVRAM 1,986 MB | 29.8 min
